date,regime,state,mkt,abs_mkt
2026-05-05,Transition,1,-0.0007886520787027972,0.0007886520787027972
2026-05-06,Stress,2,0.0013174376572724265,0.0013174376572724265
2026-05-07,Stress,2,0.005008627621971141,0.005008627621971141
2026-05-08,Transition,1,-0.0012647000513567761,0.0012647000513567761
2026-05-11,Stress,2,0.0007927982535461443,0.0007927982535461443
2026-05-12,Stress,2,0.0008461969674248247,0.0008461969674248247
2026-05-13,Transition,1,-0.0008130139602519921,0.0008130139602519921
2026-05-14,Stress,2,0.001019061685457404,0.001019061685457404
2026-05-15,Calm,0,-0.0004457178468361999,0.0004457178468361999
2026-05-18,Transition,1,-0.001757672524248189,0.001757672524248189
2026-05-19,Transition,1,-0.001551133060992556,0.001551133060992556
2026-05-20,Stress,2,0.002011317710460915,0.002011317710460915
2026-05-21,Transition,1,-0.00020400410648408355,0.00020400410648408355
2026-05-22,Calm,0,-0.00037622199119675314,0.00037622199119675314
2026-05-25,Stress,2,0.00023142742505462743,0.00023142742505462743
2026-05-26,Calm,0,-0.0010797986727520922,0.0010797986727520922
2026-05-27,Stress,2,0.0007520736365056267,0.0007520736365056267
2026-05-28,Stress,2,0.0011746641524778055,0.0011746641524778055
2026-05-29,Stress,2,0.0005314018992563646,0.0005314018992563646
2026-06-02,Transition,1,-0.0022194220284425252,0.0022194220284425252
2026-06-03,Stress,2,0.0009497971969187144,0.0009497971969187144
2026-06-04,Stress,2,0.002424772382720964,0.002424772382720964
2026-06-05,Stress,2,0.0019344717285785717,0.0019344717285785717
2026-06-09,Stress,2,0.00039631184783358534,0.00039631184783358534
2026-06-10,Transition,1,-0.00014809545707750448,0.00014809545707750448
2026-06-11,Stress,2,0.0044927649276837196,0.0044927649276837196
2026-06-12,Transition,1,-0.0012206847982550537,0.0012206847982550537
2026-06-16,Stress,2,0.0031678945918574464,0.0031678945918574464
2026-06-17,Transition,1,-0.000234607748506677,0.000234607748506677
2026-06-18,Transition,1,-0.002069475410379252,0.002069475410379252
2026-06-19,Stress,2,0.005188100432140339,0.005188100432140339
2026-06-23,Transition,1,-0.0045617811485068474,0.0045617811485068474
2026-06-24,Stress,2,0.0019947244072156018,0.0019947244072156018
2026-06-25,Transition,1,-0.002014264691879151,0.002014264691879151
2026-06-26,Stress,2,0.0023830867405785707,0.0023830867405785707
2026-06-30,Stress,2,0.0016975630547502883,0.0016975630547502883
2026-07-01,Stress,2,0.0009151632754992138,0.0009151632754992138
2026-07-02,Stress,2,5.3815537524678636e-05,5.3815537524678636e-05
2026-07-03,Transition,1,-0.0025267558851309077,0.0025267558851309077
2026-07-07,Stress,2,0.001763539814701367,0.001763539814701367
2026-07-08,Transition,1,-0.0021171785853254044,0.0021171785853254044
2026-07-09,Stress,2,0.0016658347153599708,0.0016658347153599708
2026-07-10,Stress,2,0.002187999434548791,0.002187999434548791
2026-07-14,Stress,2,0.0006762653404403196,0.0006762653404403196
2026-07-15,Stress,2,0.0032519979956919074,0.0032519979956919074
2026-07-16,Transition,1,-0.0016789696724036753,0.0016789696724036753
2026-07-17,Stress,2,0.001562686333784668,0.001562686333784668
2026-07-21,Transition,1,-0.0016812637733514956,0.0016812637733514956
2026-07-22,Transition,1,-0.0019071815600654291,0.0019071815600654291
2026-07-23,Calm,0,-0.0002619690061461049,0.0002619690061461049
2026-07-24,Transition,1,-0.0015115509798315247,0.0015115509798315247
2026-07-28,Stress,2,0.00047205334128576625,0.00047205334128576625
