as_of_date,ticker,roe,roic,debt_to_equity,ev_ebitda,pb_ratio,mktcap_to_assets,source,buffett_pass,trifecta_pass,quality_score,value_score,composite_score,decision
2024-06-30,ABBV,0.8370919131184946,0.2083921180045774,3.081566426450594,11.676167844414234,35.481488930823765,2.343076190548334,fundamentals_history_backfill,False,False,0.778,0.3207,0.5722,SATELLITE
2024-06-30,AEP,0.10347538914836685,0.05095094240932912,1.4287020053163846,11.714062114446328,1.7237530498948124,0.5008740858209377,fundamentals_history_backfill,False,False,0.3888,0.8894,0.6141,SATELLITE
2024-06-30,AFL,0.16141306528783642,0.11608000163686397,0.3552604908864368,8.094659548233807,1.4667959891897144,0.15010206752067784,fundamentals_history_backfill,False,True,0.646,1.0,0.8053,INCLUDE_VALUE
2024-06-30,ALL,0.12638769704613873,0.08929090451153214,0.33814764726276364,7.600564263599006,1.9453082048535368,0.4205406559828898,fundamentals_history_backfill,False,False,0.5278,0.9406,0.7136,SATELLITE
2024-06-30,AMAT,0.3412711027369715,0.27098679221086813,0.37836744621819624,16.498805382809604,5.7014661236384185,2.8229719131546838,fundamentals_history_backfill,True,False,0.9338,0.1778,0.5936,INCLUDE_QUALITY
2024-06-30,AMD,0.11840488471728257,0.1150573990416324,0.14796336244295547,28.0134773641768,5.030285315182733,4.143463701111411,fundamentals_history_backfill,False,False,0.5467,0.0,0.3007,AVOID
2024-06-30,ANDE,0.07115403830158694,0.061885571847647605,0.4583782424336986,8.59411007460383,1.1949385475050767,0.5890403647017116,fundamentals_history_backfill,False,False,0.3835,0.9644,0.6449,SATELLITE
2024-06-30,ARKK,,,,,,,fundamentals_history_backfill,False,False,0.0,0.0,0.0,AVOID
2024-06-30,ASIX,0.09476573378649955,0.07239618646789155,0.5909162716350526,6.321751201550523,0.995087639198028,0.3033568728804054,fundamentals_history_backfill,False,True,0.4246,1.0,0.6835,INCLUDE_VALUE
2024-06-30,ASTS,-0.21368030918875647,-0.1576755169139748,0.5177018249681621,,5.2960056945217335,2.1019050053395536,fundamentals_history_backfill,False,False,0.1427,0.0,0.0785,AVOID
2024-06-30,BA,0.0,0.01999777175769064,5.3944545267843065,20.31956640184975,1.265030531394461,0.8623292242059137,fundamentals_history_backfill,False,False,0.0919,0.5197,0.2844,AVOID
2024-06-30,BAC,0.10703518379890263,0.08497786838674527,1.1058107013853873,9.2655005645394,1.117507923563209,0.09509880736916905,fundamentals_history_backfill,False,False,0.4526,0.9921,0.6954,SATELLITE
2024-06-30,BAYRY,0.05110509671731422,0.035479149171544426,0.7336725525624497,7.921172175732761,1.0367508617373289,0.23557682029357382,fundamentals_history_backfill,False,True,0.2884,1.0,0.6086,INCLUDE_VALUE
2024-06-30,BKSY,-0.09702626642731445,-0.07428396402185687,0.400366441333461,,2.9097511301726575,1.7142202082486557,fundamentals_history_backfill,False,False,0.1613,0.112,0.1391,AVOID
2024-06-30,BLK,0.20480512334058687,0.17787558700453893,0.19755963948076227,15.83998844119094,3.2036098970460456,1.204642209986297,fundamentals_history_backfill,True,False,0.8086,0.2883,0.5745,INCLUDE_QUALITY
2024-06-30,BMY,0.16358168276458226,0.10925245559740294,1.1394076070715986,8.689137733989146,4.432438443265757,1.0126495267924087,fundamentals_history_backfill,False,False,0.5561,0.4949,0.5286,SATELLITE
2024-06-30,BX,,,,20.32734194157774,12.397334673957785,3.548498985886387,fundamentals_history_backfill,False,False,0.0,0.0644,0.029,AVOID
2024-06-30,C,0.07990040751604735,0.05052109808589155,1.402204909146398,6.593873403859979,0.6459534613149871,0.058513878929740665,fundamentals_history_backfill,False,True,0.3157,1.0,0.6236,INCLUDE_VALUE
2024-06-30,CAG,0.10424051764481174,0.06605382972792866,0.887067978204135,8.854393733897837,1.0653507768442376,0.3445139796196629,fundamentals_history_backfill,False,True,0.4258,1.0,0.6842,INCLUDE_VALUE
2024-06-30,CAT,0.3711063303012152,0.1934146513853891,1.5461941159327035,13.463915089541365,7.58093587492519,1.9272026431454752,fundamentals_history_backfill,False,False,0.7595,0.2677,0.5382,SATELLITE
2024-06-30,CB,0.13179491434431004,0.11263273005128349,0.3038397987257625,10.175506001091087,1.9880642508057829,0.5319192018433156,fundamentals_history_backfill,False,False,0.5983,0.8873,0.7284,SATELLITE
