index_name,sector,date,level,n_members
sp500,Communication Services,2023-08-09,100.0,3
sp500,Communication Services,2023-08-10,100.09002987651021,3
sp500,Communication Services,2023-08-11,100.87102166535826,3
sp500,Communication Services,2023-08-14,101.27457539186302,3
sp500,Communication Services,2023-08-15,100.29029467680152,3
sp500,Communication Services,2023-08-16,99.92758094097269,3
sp500,Communication Services,2023-08-17,99.82047405082669,3
sp500,Communication Services,2023-08-18,99.40622274526838,3
sp500,Communication Services,2023-08-21,99.58095344075853,3
sp500,Communication Services,2023-08-22,100.34238511292455,3
sp500,Communication Services,2023-08-23,100.95026257730011,3
sp500,Communication Services,2023-08-24,100.4607250990826,3
sp500,Communication Services,2023-08-25,100.36176826568999,3
sp500,Communication Services,2023-08-28,101.09054466501549,3
sp500,Communication Services,2023-08-29,104.47915403471961,3
sp500,Communication Services,2023-08-30,104.67366364471388,3
sp500,Communication Services,2023-08-31,105.23271807753274,3
sp500,Communication Services,2023-09-01,104.64896911459498,3
sp500,Communication Services,2023-09-05,103.71209775068206,3
sp500,Communication Services,2023-09-06,103.56796369924388,3
sp500,Communication Services,2023-09-07,103.39965268117552,3
sp500,Communication Services,2023-09-08,102.82264647925197,3
sp500,Communication Services,2023-09-11,103.74604637226183,3
sp500,Communication Services,2023-09-12,103.3059758620426,3
sp500,Communication Services,2023-09-13,103.85349140170167,3
sp500,Communication Services,2023-09-14,105.43134839783575,3
sp500,Communication Services,2023-09-15,105.39180962185218,3
sp500,Communication Services,2023-09-18,105.00566454213684,3
sp500,Communication Services,2023-09-19,105.10524932541634,3
sp500,Communication Services,2023-09-20,105.0068481328245,3
sp500,Communication Services,2023-09-21,103.28001223847558,3
sp500,Communication Services,2023-09-22,102.79227906899082,3
sp500,Communication Services,2023-09-25,102.75899958486339,3
sp500,Communication Services,2023-09-26,101.82883753543128,3
sp500,Communication Services,2023-09-27,101.40289935914362,3
sp500,Communication Services,2023-09-28,102.33592795673718,3
sp500,Communication Services,2023-09-29,101.83810094558137,3
sp500,Communication Services,2023-10-02,101.22491247943277,3
sp500,Communication Services,2023-10-03,101.27405851920521,3
sp500,Communication Services,2023-10-04,101.22897876663595,3
sp500,Communication Services,2023-10-05,101.90070985253499,3
sp500,Communication Services,2023-10-06,100.62610930435245,3
sp500,Communication Services,2023-10-09,102.13320716983321,3
sp500,Communication Services,2023-10-10,102.9118210497297,3
sp500,Communication Services,2023-10-11,102.7708075099159,3
sp500,Communication Services,2023-10-12,101.04461287775351,3
sp500,Communication Services,2023-10-13,100.18310337574978,3
sp500,Communication Services,2023-10-16,101.35392246905866,3
sp500,Communication Services,2023-10-17,102.1841653346673,3
sp500,Communication Services,2023-10-18,100.65045536356311,3
sp500,Communication Services,2023-10-19,103.3743765377654,3
sp500,Communication Services,2023-10-20,103.09661247516956,3
sp500,Communication Services,2023-10-23,102.16795566566708,3
sp500,Communication Services,2023-10-24,107.22267171505271,3
sp500,Communication Services,2023-10-25,102.40582227905715,3
sp500,Communication Services,2023-10-26,102.13388126581526,3
sp500,Communication Services,2023-10-27,100.41047440733367,3
sp500,Communication Services,2023-10-30,103.21263345170348,3
sp500,Communication Services,2023-10-31,103.93004848153701,3
sp500,Communication Services,2023-11-01,105.26293832439966,3
sp500,Communication Services,2023-11-02,106.38492190457201,3
sp500,Communication Services,2023-11-03,107.28944374743077,3
sp500,Communication Services,2023-11-06,106.93795088487484,3
sp500,Communication Services,2023-11-07,107.6387374853013,3
sp500,Communication Services,2023-11-08,107.27698762778606,3
sp500,Communication Services,2023-11-09,106.64736905892698,3
sp500,Communication Services,2023-11-10,107.40136686151878,3
sp500,Communication Services,2023-11-13,107.23929889253199,3
sp500,Communication Services,2023-11-14,107.82794747816939,3
sp500,Communication Services,2023-11-15,108.5160949191805,3
