date,regime,state,mkt,abs_mkt
2025-07-29,Stress,1,0.0008369288840806465,0.0008369288840806465
2025-07-30,Calm,0,-0.0014175069415968045,0.0014175069415968045
2025-07-31,Stress,1,0.0004600535931993617,0.0004600535931993617
2025-08-01,Calm,0,-0.001329480745972073,0.001329480745972073
2025-08-04,Stress,1,0.003582325052915163,0.003582325052915163
2025-08-05,Stress,1,0.000846369273638849,0.000846369273638849
2025-08-06,Stress,1,0.0009962087576584572,0.0009962087576584572
2025-08-07,Calm,0,-0.0014488918622562789,0.0014488918622562789
2025-08-08,Stress,1,0.0017380322639994339,0.0017380322639994339
2025-08-11,Stress,1,0.0022357838426254164,0.0022357838426254164
2025-08-12,Calm,0,-0.001495229314679682,0.001495229314679682
2025-08-13,Calm,0,-0.00020723703077694483,0.00020723703077694483
2025-08-14,Calm,0,-0.0032776769028388924,0.0032776769028388924
2025-08-15,Calm,0,-0.0006843588291856756,0.0006843588291856756
2025-08-18,Calm,0,-0.000561909096029445,0.000561909096029445
2025-08-19,Stress,1,0.00025674769347837725,0.00025674769347837725
2025-08-20,Calm,0,-0.00041651330252707335,0.00041651330252707335
2025-08-21,Stress,1,0.0014461127546340658,0.0014461127546340658
2025-08-22,Stress,1,0.0015309205775209179,0.0015309205775209179
2025-08-25,Stress,1,0.00018854354632766372,0.00018854354632766372
2025-08-26,Stress,1,0.0002171131481914881,0.0002171131481914881
2025-08-27,Calm,0,-0.0013353845690928644,0.0013353845690928644
2025-08-28,Calm,0,-0.001053428687332049,0.001053428687332049
2025-08-29,Stress,1,0.00263551329340575,0.00263551329340575
2025-09-01,Stress,1,0.0015816450591840947,0.0015816450591840947
2025-09-02,Calm,0,-8.81920058303612e-05,8.81920058303612e-05
2025-09-03,Calm,0,-0.0025708568257561686,0.0025708568257561686
2025-09-04,Calm,0,-0.003482208523240667,0.003482208523240667
2025-09-05,Stress,1,9.340257937817709e-05,9.340257937817709e-05
2025-09-08,Stress,1,0.0013662826752991756,0.0013662826752991756
2025-09-09,Stress,1,0.00018192207064713628,0.00018192207064713628
2025-09-10,Stress,1,0.0030692290730417546,0.0030692290730417546
2025-09-11,Stress,1,5.2355951951183425e-05,5.2355951951183425e-05
2025-09-12,Stress,1,0.0014548975655171404,0.0014548975655171404
2025-09-15,Stress,1,0.0012314475537650732,0.0012314475537650732
2025-09-16,Stress,1,0.001234474571662206,0.001234474571662206
2025-09-17,Stress,1,8.698216612333013e-05,8.698216612333013e-05
2025-09-18,Stress,1,0.0016604260520028903,0.0016604260520028903
2025-09-19,Stress,1,0.003988812421851822,0.003988812421851822
