date,Materials_ConsStpl_r10,Materials_ConsStpl_r20,Materials_HlthCare_r10,Materials_HlthCare_r20,Materials_Energy_r10,Materials_Energy_r20,Materials_Fins_r10,Materials_Fins_r20,ConsStpl_HlthCare_r10,ConsStpl_HlthCare_r20,ConsStpl_Utilities_r10,ConsStpl_Utilities_r20,HlthCare_Utilities_r10,HlthCare_Utilities_r20,Industrials_Utilities_r10,Industrials_Utilities_r20,InfoTech_REITs_r10,InfoTech_REITs_r20,ConsDisc_InfoTech_r10,ConsDisc_InfoTech_r20,Energy_Utilities_r10,Energy_Utilities_r20,Fins_REITs_r10,Fins_REITs_r20
2025-07-29,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-05,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-07,0.321236489217998,,-0.4512980824739502,,-0.5293281654507307,,0.20575761114195215,,-0.47560426900306174,,0.4982514493765074,,0.053167758696688244,,0.17523930463246337,,0.17837363323276706,,0.31485625965845376,,-0.44866678264789667,,0.30078524299020776,
2025-08-08,0.36588574308906374,,-0.48110645584914713,,-0.533441511998043,,0.19064879515091576,,-0.5725528082283435,,0.5102803917545123,,-0.02487853513147801,,0.09656456612728713,,0.047733419731520454,,0.06436298679027684,,-0.45431796338707775,,0.3037955602820443,
2025-08-11,0.2987959465250659,,-0.5475490981216844,,-0.6097689578294493,,0.31090495092271064,,-0.550069426613532,,0.4944565896681541,,-0.10570023377691776,,0.03835613745658091,,0.14230659929225764,,-0.01935440306041911,,-0.5054387168643825,,0.35867146775975156,
2025-08-12,0.2579509539143751,,-0.4422070053844561,,-0.628521708621472,,0.2362755131644705,,-0.550253220213179,,0.4744758617104337,,-0.2571841915375886,,-0.10105586384388375,,0.08878024080755959,,-0.12674680262695825,,-0.5510759074315773,,0.3664366683268759,
2025-08-13,0.09373926367778337,,-0.4262800911879249,,-0.41278729938307857,,0.24910071856384025,,-0.524060647360901,,0.26742166518230587,,-0.20206730913717272,,-0.08379283969146338,,0.07488470588793636,,-0.148344201460116,,-0.3025210281946428,,0.4347926308949877,
2025-08-14,0.07964809267920078,,-0.39375796430844123,,-0.3480865834419525,,0.1880148302642609,,-0.348283095409129,,0.16454920588053498,,-0.4428872628148702,,-0.2053964435266786,,0.08591629624487751,,-0.0888089266139164,,-0.45929288308752597,,0.2661149340788511,
2025-08-15,0.15114485991877097,,-0.4678099017535938,,-0.3484862539477347,,0.20053996985539438,,-0.20601360127275928,,0.13209787977533466,,-0.4707434662606662,,0.26982839618572574,,-0.00981890034823994,,-0.5915870406040493,,-0.439072958377138,,0.44650808537202513,
2025-08-18,-0.1750537825431172,0.05887292671828833,-0.3320702523537478,-0.4307956401817669,-0.45074793563209536,-0.5065855554400304,0.36849916356821955,0.25052817089450286,-0.5311939938752869,-0.44001426390169707,0.18701462593604146,0.3812735339743949,-0.5756797004611932,-0.37168415553655304,0.14608873126219338,0.09029065008604932,0.0416354871387562,0.15735955845366167,-0.6065087880188414,-0.1176006981498312,-0.44395551733444744,-0.4127496894572796,0.523022656247246,0.4010692921865684
2025-08-19,-0.22188615179693105,0.0539119077507701,-0.2747834960348891,-0.36874578631820926,-0.4366084699896121,-0.5011066647094723,0.3013620451258945,0.23839377851097568,-0.5832704883643841,-0.4491311089625854,0.0297809522463648,0.33728515003094633,-0.3360963763871569,-0.21856959852239577,-0.02291701157785238,0.10107594278767858,0.041678119650664654,0.16685601562403454,-0.5497111215934651,-0.11149183153482087,-0.3988102326333758,-0.3789476383801148,0.5696729423110642,0.42840317463872873
2025-08-20,-0.01571959814028797,0.08396352002797366,-0.3557602803005025,-0.3849186286513508,-0.21625245536860505,-0.49838221006208194,0.31751940511482685,0.23723423771284974,-0.6150427126725793,-0.4684177737892759,0.06002623904877121,0.27363942006151487,-0.31217555827260596,-0.17143051709646537,0.16833004522219985,0.14129494362215395,0.0657658920560223,0.18279263065870036,-0.5269454259686509,-0.10854129936360486,-0.19412096533001358,-0.36432334170958386,0.6714486620946983,0.41816747221422124
2025-08-21,-0.06639252808043,0.06064455453672079,-0.21140131517375138,-0.34223162215790587,0.1102249429029997,-0.2523398033119867,-0.1932251109366626,-0.04641864512125236,-0.573307133381998,-0.469075400984227,0.06660259930362586,0.27622934460784154,-0.37091685606097474,-0.17351721571762452,0.20703581358535678,0.1631768162063356,0.4103849358193889,0.25877481377387146,-0.7771182879930871,-0.1887939823941202,-0.26895905659377783,-0.37000348815864564,-0.001097398912226127,0.11243474849493594
2025-08-22,-0.12822195443698747,0.07585360414168366,0.004760646086320086,-0.3370891150277674,0.09525969973272563,-0.2630362538998741,-0.24023478948520127,-0.06689652037177546,-0.5107902155611546,-0.4465816397285696,-0.14835299905818253,0.16105608286395684,-0.22640530528319483,-0.17832196815129667,0.49084668947973004,0.15891727054592014,0.27479689863870954,0.14346614193989488,-0.7775155298527204,-0.29213620012130964,0.07343913343040918,-0.2208798418469595,0.06528684682831613,0.15844142438111752
2025-08-25,-0.067970211841466,0.13467773618348197,0.15247665604771735,-0.2555003062515679,0.14708008371091635,-0.3072297081641361,-0.48623553436797107,-0.08412475595752289,-0.43087379099888085,-0.382114920954187,-0.12994355526795198,0.17296405780644478,-0.18469965057666154,-0.15886068919187984,0.3393302468612218,0.1385339992994086,0.1534444773098542,0.12339274012018911,-0.8471914358516083,-0.3891367549118403,0.09265812452954995,-0.2309573772802199,0.007212920460649741,0.15904879309811845
2025-08-26,0.09053278122500304,0.17787900463513323,0.08762566625390944,-0.18378460314341102,0.17539372295037647,-0.29467145750578416,-0.4287188450031251,-0.08082434631063376,-0.4590532535965743,-0.37840890823209683,0.06925850897652147,0.2615582749938128,-0.24289641994840264,-0.2147162825497119,0.2793375213457817,0.11273888737608156,0.21808556349235872,0.13022561207596967,-0.8678999940999533,-0.5219893554175395,0.1011031202680273,-0.23056226804636892,-0.04724271771768125,0.16337050301521808
2025-08-27,0.09503147917311529,0.10202598453216168,0.09476018668686834,-0.1101835569780238,0.21343502902197586,-0.18604007752482632,-0.4245173405176048,-0.08377641197784938,-0.34701502241449383,-0.3336786087945967,0.10039226967914164,0.17955913802261128,-0.19083251044259916,-0.045320626274689677,0.07539686975930412,0.125822205658684,0.2572913236522763,0.1640866534948069,-0.5595561397929705,-0.36622067479710435,0.061208896982522576,-0.1658758574906283,-0.1002250360896264,0.1670968422999198
2025-08-28,0.03753254586684974,0.07579374766154591,0.10717442450595631,-0.10799506050415718,0.1598056110100874,-0.1613633663891413,-0.48664862737437153,-0.13970628847569078,-0.22675939043410204,-0.22600399867194684,0.15403178735103906,0.1887730915343989,-0.005316072857229197,-0.054870664566194924,0.0749984259306111,0.11844685415225076,0.1626088369031005,0.11666931307604131,-0.5814326480644189,-0.38820960208359484,0.25411114234408416,-0.21586022634449958,0.09187063504830861,0.1402826123836005
2025-08-29,0.048000057729472724,0.09327583982891474,-0.06299185378181568,-0.2163803673485485,0.38457528307799155,0.025611924699404178,-0.28343884471583364,-0.08717676053338799,-0.21517636666068343,-0.1750202183690241,0.11604338876452917,0.11181317119828882,0.3134814101524734,0.0773280681714381,-0.2594294253746901,0.08076776235474781,0.10883722014487102,0.052184839040177546,-0.5128391188685899,-0.5271602572790685,-0.01300269616825688,-0.3076114927412303,0.0010921860344930408,0.19622056464300364
2025-09-01,0.23651875642436593,-0.01274056093518749,0.20040344814005676,-0.15395937629779036,0.29094124725616294,0.0266324220651304,-0.382956894422568,-0.07345120073728383,-0.4555418691325958,-0.3646508130678715,-0.2885361544203699,0.03088724587625324,0.33860106782617294,0.025958663157015602,-0.06109776161267488,0.03767139124007382,0.09940533332304147,0.052113113953590494,-0.5359814167983592,-0.52914273705469,0.02793222317455673,-0.33106428655775855,-0.15633372086259742,0.195218662003705
2025-09-02,0.3726016494452783,0.00957601202276962,0.1063146800250645,-0.15097245531016093,0.07732105834042717,-0.043676804351306525,-0.15372752573862478,-0.011083973832370612,-0.34082898848084714,-0.382742592650678,-0.2616359519512474,-0.02672226432165515,0.3157515113868846,-0.0052018886666727465,-0.07790117620552132,-0.09269098243149475,0.016231444288625576,0.015702879424458152,-0.5865372750027087,-0.5300742793726229,-0.0030109574375206914,-0.2850194482843322,-0.33564476243926633,0.12501614418672902
2025-09-03,0.33063633417055827,0.12587152670350063,0.09709910277445406,-0.13193244566768256,0.32846606787598714,0.10938212951877462,-0.08532288542128379,0.0649249549957123,-0.4048578309085615,-0.40376391492363906,-0.15197047925010934,0.05317318643522694,0.29968364897393995,-0.008751030846760634,-0.09562957642997792,-0.021864370252073544,-0.003738557372560906,-0.004184377366846772,-0.565261973651694,-0.5275743729415219,-0.24396185878848162,-0.2838629920901046,-0.2088969641574271,0.1399027664480547
2025-09-04,0.025855087526215348,0.075516129126966,-0.1244726428397138,-0.1407539107967677,0.21617123011698755,0.05816767733036291,0.22647218298483368,0.055083863300633674,0.1163700356286324,-0.22581390739188817,-0.08642593846823182,0.056172681077463996,0.26030938557846856,-0.034726339822123004,-0.22162773619176007,-0.024174882604163634,-0.15652097275765736,0.12775231305203288,-0.36969915341184384,-0.4717806285086494,-0.23867117014460906,-0.2826115505122469,0.18997973904547427,0.09022345884661248
2025-09-05,-0.07759723405785415,-0.003331703354023232,-0.06979550550677383,-0.018747141347259695,0.24630390509888997,0.08070256158145214,0.2810211202375328,0.08918484765869394,-0.05795517768388735,-0.23917010320303683,-0.008933047655187798,0.02967240779799757,0.29631158092231397,0.022584817723172803,0.15590360943910708,0.000777101033419526,0.026854938611058803,0.17397525247030152,-0.21901776983970261,-0.4039334352016724,-0.5846607883404233,-0.27537473767712406,-0.04044444610680209,0.07721194028024894
