,Materi×Energy_r20,Materi×Consum_r20,Materi×Health_r20,Consum×Health_r20,Consum×Utilit_r20,Energy×Utilit_r20,Financ×Real E_r20,Inform×Consum_r20,Indust×Materi_r20
1962-01-03,,,,,,,,,
1962-01-04,,,,,,,,,
1962-01-05,,,,,,,,,
1962-01-08,,,,,,,,,
1962-01-09,,,,,,,,,
1962-01-10,,,,,,,,,
1962-01-11,,,,,,,,,
1962-01-12,,,,,,,,,
1962-01-15,,,,,,,,,
1962-01-16,,,,0.5357586787806096,0.23828520457439378,0.5541357345276242,,,
1962-01-17,,,,0.4818951980383435,0.10624932875060251,0.517227409657646,,,
1962-01-18,,,,0.4861638518956735,0.12368970518832574,0.5471079602145396,,,
1962-01-19,,,,0.6012223667198351,0.1430198005000281,0.5487449074103236,,,
1962-01-22,,,,0.5577368371213808,0.11123686136780511,0.5283477217599253,,,
1962-01-23,,,,0.5559192095253979,0.09381383857683992,0.5019244478790794,,,
1962-01-24,,,,0.5439719189372518,0.08837839818469014,0.49193241455322756,,,
1962-01-25,,,,0.5300283040592241,0.08967259438342332,0.4915509257972,,,
1962-01-26,,,,0.5367308766792499,0.1124345209666543,0.4216723292114874,,,
1962-01-29,,,,0.49034723641751016,0.11244244864584395,0.4173019682526088,,,
1962-01-30,,,,0.4775806445867823,0.14722898395998535,0.4354372344608872,,,
1962-01-31,,,,0.5000181615634518,0.1945222274154541,0.4432041868223441,,,
1962-02-01,,,,0.5341411633975266,0.2460659633513012,0.4470997355140309,,,
1962-02-02,,,,0.5691221227517635,0.23355412623710553,0.05447086018873177,,,
1962-02-05,,,,0.5298591775919,0.18928214417443132,0.0013614048343882196,,,
1962-02-06,,,,0.4440477676696747,0.16840505047188994,-0.0824378310327618,,,
1962-02-07,,,,0.4428877659103245,0.19850702585308946,0.0426522477418689,,,
1962-02-08,,,,0.44769952162426413,0.18119913642146537,0.04799598473227672,,,
1962-02-09,,,,0.4650016935739259,0.17671251688958847,0.022133546993424177,,,
1962-02-12,,,,0.44268137035750976,0.1365946949319889,-0.09173936013459097,,,
1962-02-13,,,,0.3911983035154942,0.07863939928392547,-0.10396288049153829,,,
1962-02-14,,,,0.3549543035817455,0.07636233235110665,-0.10816703801164608,,,
1962-02-15,,,,0.3632018890836115,0.11201536411126092,-0.11164772028287871,,,
1962-02-16,,,,0.2919530746305309,0.1459783271143241,-0.12115326135920253,,,
1962-02-19,,,,0.33662992069234265,0.18499089106671024,-0.15055851775338586,,,
1962-02-20,,,,0.2775041708707934,0.16090654771113028,-0.1807578093882572,,,
1962-02-21,,,,0.30938881880884084,0.18662499660899237,-0.09755860560761771,,,
1962-02-22,,,,0.3464473109440961,0.2133568112849055,-0.10307394249016608,,,
1962-02-23,,,,0.2610216636204414,0.0856626681436347,-0.09014303752419346,,,
1962-02-26,,,,0.35202342126368985,0.03799255328798697,-0.0451519171121664,,,
1962-02-27,,,,0.3935355863660812,0.03475023684163966,-0.060790364291954294,,,
1962-02-28,,,,0.2764330990770714,0.2376056287851509,-0.009919827746137403,,,
1962-03-01,,,,0.2627849512731481,0.26540349451362677,-0.013926662261626432,,,
1962-03-02,,,,0.10047488288339544,0.36076706000193204,0.13532189838275593,,,
1962-03-05,,,,0.05600631060255047,0.4485160554301104,0.15547701022751328,,,
1962-03-06,,,,0.48914646967983944,0.3682877123446754,0.28024191395504444,,,
1962-03-07,,,,0.36518901974171697,0.25419342718244486,0.1471492575484913,,,
1962-03-08,,,,0.4336142660645281,0.5282741373759641,-0.14909191676392064,,,
1962-03-09,,,,0.4152993923230276,0.5072162227814299,-0.13500362689746967,,,
1962-03-12,,,,0.47027492253666875,0.39670650404694124,-0.11552949682540335,,,
1962-03-13,,,,0.4939891762298872,0.40064096393433535,-0.12515919141392168,,,
1962-03-14,,,,0.46394506022714005,0.41828972897115935,-0.12611851976101068,,,
1962-03-15,,,,0.42692408753833255,0.44113834846085664,-0.2630512145774637,,,
1962-03-16,,,,0.46683255904923115,0.46417306721940144,-0.22620185814856542,,,
1962-03-19,,,,0.46584282259757004,0.45673679273095535,-0.1404167376927044,,,
1962-03-20,,,,0.42784934705126887,0.4630850072153591,-0.14824711604444504,,,
1962-03-21,,,,0.2651537589545153,0.41504049067398746,-0.2509077760029817,,,
1962-03-22,,,,0.28198168421900605,0.3807882819857778,-0.2394838954903776,,,
1962-03-23,,,,0.25764666342283954,0.37696867765872843,-0.24283667904453615,,,
1962-03-26,,,,0.29009194390319776,0.4767748986344984,-0.1325730365776635,,,
1962-03-27,,,,0.346781201807022,0.5071713006483742,-0.139031554331191,,,
1962-03-28,,,,0.30704012105764555,0.47251463517833153,-0.16121766241847654,,,
1962-03-29,,,,0.30724619423716065,0.4680211600121529,-0.19589969275956684,,,
1962-03-30,,,,0.3450652531186341,0.4158856088776533,-0.14135783675161104,,,
1962-04-02,,,,0.35351544656486644,0.37621868451569895,-0.1652463487373547,,,
1962-04-03,,,,0.3750919773085449,0.4443257254542303,-0.12474123757840559,,,
1962-04-04,,,,0.4023646000090425,0.4602651326070108,-0.1005057078381141,,,
1962-04-05,,,,0.3803664031470383,0.47243019564984196,0.28857536552898955,,,
1962-04-06,,,,0.2703485883332044,0.48868336374579324,0.2467847334207377,,,
1962-04-09,,,,0.24492375420886933,0.5406911100739168,0.36486552537546457,,,
1962-04-10,,,,0.20688339177138854,0.5181858931636574,0.4202267817959294,,,
1962-04-11,,,,0.096337146835634,0.49821386394100164,0.4101482373848548,,,
1962-04-12,,,,0.22589169410604643,0.45234416399701566,0.5159805998558995,,,
1962-04-13,,,,0.3254205200339151,0.38649940564128665,0.4383745045537701,,,
1962-04-16,,,,0.3210009139605249,0.3835753542424807,0.4170706211868961,,,
1962-04-17,,,,0.2845416430342696,0.3763018206484915,0.33473081505084673,,,
1962-04-18,,,,0.3461727754925842,0.36069595660037274,0.3339611198860715,,,
1962-04-19,,,,0.32260623393858595,0.3744646491672101,0.39318656444271743,,,
1962-04-20,,,,0.31024481967950623,0.37338172697067196,0.39160135774593513,,,
1962-04-23,,,,0.4466540588106822,0.15566499484375473,0.3088224691868122,,,
1962-04-24,,,,0.43376268564673853,0.050296689098414595,0.3401140220712678,,,
1962-04-25,,,,0.4541840695235974,1.7534284112093022e-05,0.3415851163165444,,,
1962-04-26,,,,0.4937419545933465,0.016874330748101664,0.30974723931901044,,,
1962-04-27,,,,0.4905835872232504,0.098534141143501,0.35358166532289276,,,
1962-04-30,,,,0.5468161955238535,0.37061293175428944,0.5476929703740712,,,
1962-05-01,,,,0.6555742198513641,0.4264384089482854,0.5643553330378536,,,
1962-05-02,,,,0.6918420581117839,0.3503338416836578,0.4958143056044035,,,
1962-05-03,,,,0.6907503955929125,0.2028798562616353,0.45062931872859435,,,
1962-05-04,,,,0.731870169633392,0.18673894786326922,0.44156517672131457,,,
1962-05-07,,,,0.7280985816964465,0.17949510558033677,0.45145494848383483,,,
1962-05-08,,,,0.7281358553962706,0.15073942675833563,0.4114984524193902,,,
1962-05-09,,,,0.7190237384781604,0.13451411267907554,0.3883077220663924,,,
1962-05-10,,,,0.7110174399981558,0.16041703359165985,0.35716264314852886,,,
1962-05-11,,,,0.5412901538599199,0.09382038660494087,0.334868751942133,,,
1962-05-14,,,,0.5472301997772114,0.09819824496649365,0.330583333471858,,,
