date,mkt_ret,vol21,avg_corr,state_id,regime,p_state_0,p_state_1,p_state_2,p_low_vol,p_high_vol_stress,p_normal,posterior_entropy,max_posterior,hard_regime,soft_regime,vol_next,entropy_bin
2025-08-27,0.0032389430481742,0.0807466200494541,0.1074476705070208,0,low_vol,1.0,1.9900414910339864e-145,1.1743706512225153e-42,1.0,1.9900414910339864e-145,1.1743706512225153e-42,5.2122318877694746e-11,0.9999999999979998,low_vol,low_vol,0.0813764860453717,low
2025-08-28,0.0037334316202979,0.0813764860453717,0.1037092888665612,0,low_vol,0.9999981262972074,4.492412200648456e-36,1.873702782554118e-06,0.9999981262972074,4.492412200648456e-36,1.873702782554118e-06,2.4197218146425293e-05,0.9999981262962175,low_vol,low_vol,0.0790210597576556,low
2025-08-29,0.0025197983332937,0.0790210597576556,0.1049985476891035,0,low_vol,0.99999954879114,6.6343980568239476e-18,4.512088536205637e-07,0.99999954879114,6.6343980568239476e-18,4.512088536205637e-07,6.4117263232655845e-06,0.9999995487901463,low_vol,low_vol,0.0790367610351696,low
2025-09-01,-0.0083091610982701,0.0790367610351696,0.0947785203477192,0,low_vol,0.999999780090998,3.012953813347967e-20,2.199090032403502e-07,0.999999780090998,3.012953813347967e-20,2.199090032403502e-07,3.268809298370818e-06,0.9999997800899968,low_vol,low_vol,0.0725139867048035,low
2025-09-02,-0.0047332710907792,0.0725139867048035,0.1009123579362172,0,low_vol,0.9999999989057358,2.8776634872460345e-18,1.0942741139236914e-09,0.9999999989057358,2.8776634872460345e-18,1.0942741139236914e-09,2.1573811084141008e-08,0.9999999989047259,low_vol,low_vol,0.076781643995323,low
2025-09-03,0.0086785149853864,0.076781643995323,0.1001811273962684,0,low_vol,0.9999998328320456,3.8308306221041153e-22,1.6716795752170917e-07,0.9999998328320456,3.8308306221041153e-22,1.6716795752170917e-07,2.526578313568836e-06,0.9999998328310424,low_vol,low_vol,0.075258922326461,low
2025-09-04,0.0003334413367176,0.075258922326461,0.1061953782843274,0,low_vol,0.9999999767191244,1.2547509778947857e-21,2.3280879049321272e-08,0.9999999767191244,1.2547509778947857e-21,2.3280879049321272e-08,3.9366545492958116e-07,0.999999976718121,low_vol,low_vol,0.0702829599507937,low
2025-09-05,-0.0005681618304741,0.0702829599507937,0.1064623868894595,0,low_vol,0.9999999997930332,1.9218730177291533e-21,2.0696136957514968e-10,0.9999999997930332,1.9218730177291533e-21,2.0696136957514968e-10,4.415131890181977e-09,0.9999999997920387,low_vol,low_vol,0.0704587660934132,low
2025-09-08,0.0054820534442713,0.0704587660934132,0.0986021894369229,0,low_vol,0.999999999194472,1.5087665724678673e-23,8.055263571189635e-10,0.999999999194472,1.5087665724678673e-23,8.055263571189635e-10,1.6112596720062176e-08,0.9999999991934737,low_vol,low_vol,0.0716024968166019,low
2025-09-09,0.0052279467837675,0.0716024968166019,0.095770943945066,0,low_vol,0.9999999978422522,4.731511762557985e-24,2.1577503083411714e-09,0.9999999978422522,4.731511762557985e-24,2.1577503083411714e-09,4.1181554485993096e-08,0.9999999978412497,low_vol,low_vol,0.0703008811134045,low
